Table 1
,,,,,,
Name,Location,Charging Slots,Contact,Longitude,Latitude,
Taj The Gateway Hotel Pasumalai Entry Side (Private Charger),"The Gateway Hotel Pasumalai Madurai, No: 40, Tpk Road, Pasumalai",Slots - 1,9223581898,78.480309,9.931764,
Tata Power - (Kaveri Auto Garage) Charging Station,"New Survey No 146/2C, 148/1A, 149/1B2A, Paravai Bit 1 village, Madurai",Slots - 2,18008332233,78.471755,9.925821,
The Taj Gateway charging station,"pasumalai Madurai No.40, Tpk Rd",Slot 1,9223581898,78.480464,9.931826,
MG - pps motors uchapatti madurai charging station,shed no d-23 Nilaiyur First Bit Madurai,Slot 2,9244477333,78.472208,9.925712,
